  12	   3	04	06	11	52	58	
  12	   3	04	06	13	19	54	
  12	   3	04	06	13	23	54	
 200	   0	04	06	13	52	58	
 200	   0	04	06	14	58	40	
 200	   0	04	06	14	58	54	
 200	   0	04	06	15	01	35	
 200	   0	04	06	15	19	38	
 200	   0	04	06	15	36	34	
 100	   1	04	08	14	04	40	
 103	   0	04	08	14	04	58	
 100	   1	04	08	14	15	34	
 100	   1	04	08	15	55	56	
 200	   0	04	08	16	46	39	
 115	  21	11	02	14	13	49	
 115	  21	11	02	14	15	43	
 115	  21	11	02	14	22	48	
 115	  21	11	02	14	54	34	
 115	  21	11	02	14	58	33	
 115	  19	11	08	20	49	56	
 115	  20	12	15	09	31	11	
